time,event,detail
2026-02-11T09:55:56Z,query,retry
2026-02-11T11:42:30Z,login,scanner
2026-02-11T10:05:30Z,login,timeout
2026-02-11T10:33:24Z,logout,scanner
2026-02-11T11:30:32Z,login,legacy app
2026-02-11T07:11:22Z,query,maintenance
2026-02-11T10:25:05Z,policy_refresh,retry
2026-02-11T12:46:25Z,scan,scanner
2026-02-11T08:41:39Z,logout,maintenance
2026-02-11T11:13:58Z,policy_refresh,timeout
2026-02-11T12:00:51Z,scan,scanner
2026-02-11T11:34:27Z,service_restart,retry
2026-02-11T12:54:11Z,login,scanner
2026-02-11T12:35:50Z,login,normal
2026-02-11T07:52:13Z,login,maintenance
2026-02-11T10:04:07Z,logout,retry
2026-02-11T10:06:01Z,login,timeout
2026-02-11T12:47:45Z,login,timeout
2026-02-11T11:09:37Z,scan,maintenance
2026-02-11T09:04:51Z,login,retry
2026-02-11T09:43:16Z,login,timeout
2026-02-11T07:42:47Z,scan,timeout
2026-02-11T08:36:14Z,scan,normal
2026-02-11T11:02:23Z,logout,normal
2026-02-11T12:47:42Z,service_restart,normal
2026-02-11T07:55:45Z,service_restart,retry
2026-02-11T09:18:28Z,query,legacy app
2026-02-11T12:05:43Z,logout,scanner
2026-02-11T12:54:25Z,login,maintenance
2026-02-11T12:00:38Z,logout,legacy app
