time,event,detail
2026-02-11T07:30:44Z,logout,scanner
2026-02-11T11:39:45Z,policy_refresh,maintenance
2026-02-11T12:13:29Z,query,scanner
2026-02-11T08:58:42Z,policy_refresh,normal
2026-02-11T08:36:54Z,query,maintenance
2026-02-11T09:11:02Z,scan,timeout
2026-02-11T11:00:30Z,policy_refresh,normal
2026-02-11T11:50:44Z,policy_refresh,maintenance
2026-02-11T10:35:01Z,service_restart,legacy app
2026-02-11T09:41:29Z,policy_refresh,legacy app
2026-02-11T08:22:32Z,logout,scanner
2026-02-11T08:20:27Z,query,maintenance
2026-02-11T08:30:16Z,logout,timeout
2026-02-11T11:52:10Z,scan,timeout
2026-02-11T11:56:16Z,scan,timeout
2026-02-11T10:19:45Z,query,retry
2026-02-11T10:20:12Z,logout,legacy app
2026-02-11T09:12:22Z,logout,normal
2026-02-11T11:51:10Z,service_restart,maintenance
2026-02-11T09:52:11Z,policy_refresh,legacy app
2026-02-11T10:17:14Z,service_restart,scanner
2026-02-11T09:15:09Z,service_restart,retry
2026-02-11T11:18:58Z,scan,legacy app
2026-02-11T08:34:28Z,policy_refresh,scanner
2026-02-11T07:45:30Z,policy_refresh,normal
2026-02-11T10:19:05Z,service_restart,timeout
2026-02-11T12:32:23Z,query,scanner
2026-02-11T08:03:05Z,login,legacy app
2026-02-11T10:35:24Z,policy_refresh,timeout
2026-02-11T09:02:30Z,service_restart,legacy app
