time,event,detail
2026-02-11T09:36:41Z,scan,legacy app
2026-02-11T09:18:01Z,query,scanner
2026-02-11T10:47:54Z,login,maintenance
2026-02-11T09:04:40Z,login,scanner
2026-02-11T07:14:24Z,policy_refresh,timeout
2026-02-11T08:52:08Z,policy_refresh,timeout
2026-02-11T10:11:32Z,scan,maintenance
2026-02-11T07:46:19Z,query,maintenance
2026-02-11T07:41:17Z,query,scanner
2026-02-11T11:12:55Z,query,timeout
2026-02-11T08:13:07Z,policy_refresh,legacy app
2026-02-11T09:35:26Z,policy_refresh,scanner
2026-02-11T10:32:05Z,service_restart,maintenance
2026-02-11T07:24:41Z,policy_refresh,timeout
2026-02-11T12:32:40Z,policy_refresh,legacy app
2026-02-11T08:49:57Z,scan,legacy app
2026-02-11T11:07:11Z,query,timeout
2026-02-11T09:26:07Z,service_restart,timeout
2026-02-11T11:14:47Z,service_restart,retry
2026-02-11T12:50:54Z,scan,scanner
2026-02-11T10:06:54Z,policy_refresh,normal
2026-02-11T11:15:57Z,policy_refresh,scanner
2026-02-11T08:37:27Z,scan,maintenance
2026-02-11T08:18:40Z,query,scanner
2026-02-11T12:48:56Z,policy_refresh,normal
2026-02-11T11:13:41Z,service_restart,normal
2026-02-11T08:32:56Z,logout,timeout
2026-02-11T12:28:13Z,scan,scanner
2026-02-11T10:13:08Z,scan,timeout
2026-02-11T10:51:31Z,scan,legacy app
