time,event,detail
2026-02-11T09:52:26Z,policy_refresh,maintenance
2026-02-11T11:33:58Z,scan,retry
2026-02-11T12:44:20Z,logout,retry
2026-02-11T12:56:54Z,logout,legacy app
2026-02-11T09:37:34Z,login,scanner
2026-02-11T11:03:24Z,service_restart,maintenance
2026-02-11T10:47:26Z,logout,timeout
2026-02-11T07:14:40Z,logout,retry
2026-02-11T11:15:28Z,login,retry
2026-02-11T12:42:52Z,service_restart,legacy app
2026-02-11T08:33:28Z,query,normal
2026-02-11T11:58:01Z,service_restart,retry
2026-02-11T10:22:32Z,login,retry
2026-02-11T10:17:20Z,policy_refresh,retry
2026-02-11T11:26:51Z,login,timeout
2026-02-11T12:00:52Z,query,legacy app
2026-02-11T09:18:15Z,query,normal
2026-02-11T07:20:46Z,policy_refresh,normal
2026-02-11T09:56:42Z,policy_refresh,maintenance
2026-02-11T09:01:29Z,query,legacy app
2026-02-11T08:34:00Z,login,maintenance
2026-02-11T07:25:06Z,policy_refresh,legacy app
2026-02-11T11:16:47Z,service_restart,scanner
2026-02-11T10:38:00Z,logout,maintenance
2026-02-11T07:51:49Z,scan,legacy app
2026-02-11T09:59:35Z,query,maintenance
2026-02-11T12:57:51Z,login,scanner
2026-02-11T07:18:13Z,query,retry
2026-02-11T12:44:45Z,query,timeout
2026-02-11T07:56:51Z,service_restart,legacy app
