time,event,detail
2026-02-11T09:51:44Z,query,timeout
2026-02-11T11:24:37Z,query,scanner
2026-02-11T12:17:15Z,query,normal
2026-02-11T07:29:58Z,scan,timeout
2026-02-11T09:05:09Z,login,scanner
2026-02-11T12:44:39Z,policy_refresh,maintenance
2026-02-11T11:53:17Z,policy_refresh,scanner
2026-02-11T12:44:13Z,query,normal
2026-02-11T11:56:14Z,service_restart,legacy app
2026-02-11T09:28:53Z,login,maintenance
2026-02-11T07:03:02Z,service_restart,normal
2026-02-11T10:19:00Z,query,scanner
2026-02-11T10:01:03Z,scan,retry
2026-02-11T10:45:26Z,policy_refresh,maintenance
2026-02-11T10:10:06Z,scan,scanner
2026-02-11T08:03:20Z,login,normal
2026-02-11T07:32:32Z,logout,retry
2026-02-11T11:24:10Z,service_restart,scanner
2026-02-11T12:34:26Z,scan,maintenance
2026-02-11T11:34:45Z,service_restart,normal
2026-02-11T09:21:35Z,query,legacy app
2026-02-11T09:33:49Z,login,retry
2026-02-11T09:15:33Z,policy_refresh,scanner
2026-02-11T10:32:51Z,logout,retry
2026-02-11T11:22:18Z,logout,timeout
2026-02-11T07:39:36Z,login,maintenance
2026-02-11T11:28:57Z,login,retry
2026-02-11T09:29:03Z,login,retry
2026-02-11T08:55:54Z,query,normal
2026-02-11T12:36:56Z,policy_refresh,legacy app
