time,event,detail
2026-02-11T09:34:51Z,policy_refresh,normal
2026-02-11T12:48:43Z,query,normal
2026-02-11T08:56:19Z,query,timeout
2026-02-11T08:29:18Z,query,scanner
2026-02-11T07:23:03Z,policy_refresh,timeout
2026-02-11T07:57:15Z,service_restart,scanner
2026-02-11T08:40:50Z,service_restart,scanner
2026-02-11T11:06:25Z,policy_refresh,scanner
2026-02-11T09:27:43Z,scan,normal
2026-02-11T09:53:00Z,logout,timeout
2026-02-11T12:55:45Z,query,legacy app
2026-02-11T07:10:41Z,query,normal
2026-02-11T08:16:31Z,query,retry
2026-02-11T08:22:28Z,service_restart,retry
2026-02-11T07:08:47Z,query,timeout
2026-02-11T08:53:04Z,query,normal
2026-02-11T07:27:21Z,query,maintenance
2026-02-11T10:18:57Z,policy_refresh,timeout
2026-02-11T10:06:23Z,policy_refresh,retry
2026-02-11T12:58:51Z,login,retry
2026-02-11T12:58:31Z,policy_refresh,maintenance
2026-02-11T10:49:46Z,service_restart,normal
2026-02-11T12:34:22Z,service_restart,timeout
2026-02-11T08:00:03Z,policy_refresh,retry
2026-02-11T10:27:20Z,scan,timeout
2026-02-11T11:51:09Z,login,scanner
2026-02-11T07:37:03Z,logout,maintenance
2026-02-11T11:02:35Z,logout,timeout
2026-02-11T11:08:11Z,logout,maintenance
2026-02-11T08:51:16Z,login,timeout
