time,event,detail
2026-02-11T12:32:37Z,logout,legacy app
2026-02-11T07:09:19Z,scan,legacy app
2026-02-11T07:55:00Z,service_restart,retry
2026-02-11T11:52:39Z,query,scanner
2026-02-11T11:28:14Z,logout,legacy app
2026-02-11T10:18:43Z,scan,scanner
2026-02-11T10:42:10Z,service_restart,normal
2026-02-11T07:06:51Z,service_restart,maintenance
2026-02-11T07:04:57Z,policy_refresh,normal
2026-02-11T12:12:46Z,login,maintenance
2026-02-11T09:10:36Z,logout,normal
2026-02-11T07:14:32Z,logout,maintenance
2026-02-11T08:51:35Z,login,timeout
2026-02-11T07:01:23Z,scan,scanner
2026-02-11T07:00:09Z,policy_refresh,normal
2026-02-11T12:33:58Z,login,retry
2026-02-11T09:32:05Z,login,normal
2026-02-11T11:06:32Z,service_restart,normal
2026-02-11T10:07:19Z,query,maintenance
2026-02-11T09:43:12Z,query,scanner
2026-02-11T10:35:42Z,query,maintenance
2026-02-11T07:25:22Z,query,retry
2026-02-11T12:22:19Z,login,normal
2026-02-11T07:18:26Z,login,normal
2026-02-11T10:42:12Z,login,timeout
2026-02-11T11:14:13Z,login,maintenance
2026-02-11T10:50:03Z,policy_refresh,scanner
2026-02-11T09:11:44Z,policy_refresh,legacy app
2026-02-11T08:15:50Z,logout,normal
2026-02-11T08:43:52Z,service_restart,maintenance
