time,event,detail
2026-02-11T10:41:38Z,service_restart,normal
2026-02-11T09:26:19Z,scan,timeout
2026-02-11T13:00:36Z,login,normal
2026-02-11T07:49:05Z,query,retry
2026-02-11T12:52:50Z,policy_refresh,normal
2026-02-11T12:54:36Z,service_restart,scanner
2026-02-11T08:45:26Z,service_restart,retry
2026-02-11T10:24:12Z,login,scanner
2026-02-11T10:07:46Z,logout,normal
2026-02-11T11:10:21Z,logout,scanner
2026-02-11T07:06:28Z,scan,scanner
2026-02-11T10:49:54Z,policy_refresh,normal
2026-02-11T07:22:10Z,service_restart,maintenance
2026-02-11T09:54:58Z,query,scanner
2026-02-11T12:06:08Z,login,scanner
2026-02-11T10:18:27Z,logout,retry
2026-02-11T09:34:03Z,login,legacy app
2026-02-11T08:16:33Z,policy_refresh,retry
2026-02-11T12:14:46Z,query,maintenance
2026-02-11T10:39:08Z,scan,scanner
2026-02-11T07:14:53Z,logout,retry
2026-02-11T10:19:28Z,policy_refresh,retry
2026-02-11T11:02:55Z,query,normal
2026-02-11T08:53:18Z,service_restart,legacy app
2026-02-11T11:47:16Z,query,retry
2026-02-11T07:57:01Z,scan,normal
2026-02-11T08:20:58Z,logout,legacy app
2026-02-11T12:09:40Z,policy_refresh,maintenance
2026-02-11T07:06:18Z,query,retry
2026-02-11T08:35:48Z,logout,timeout
