time,event,detail
2026-02-11T09:51:10Z,logout,legacy app
2026-02-11T07:11:29Z,service_restart,scanner
2026-02-11T09:39:49Z,service_restart,legacy app
2026-02-11T09:21:38Z,login,retry
2026-02-11T11:02:25Z,scan,legacy app
2026-02-11T08:24:46Z,query,maintenance
2026-02-11T12:50:13Z,policy_refresh,normal
2026-02-11T09:06:00Z,scan,legacy app
2026-02-11T12:07:09Z,policy_refresh,legacy app
2026-02-11T11:41:26Z,logout,timeout
2026-02-11T11:39:23Z,policy_refresh,maintenance
2026-02-11T11:58:18Z,scan,retry
2026-02-11T08:23:46Z,login,legacy app
2026-02-11T08:47:53Z,logout,timeout
2026-02-11T10:57:00Z,logout,legacy app
2026-02-11T10:02:30Z,logout,legacy app
2026-02-11T08:29:52Z,scan,timeout
2026-02-11T11:05:06Z,scan,retry
2026-02-11T12:16:19Z,scan,timeout
2026-02-11T07:00:54Z,logout,normal
2026-02-11T08:10:11Z,service_restart,scanner
2026-02-11T12:54:00Z,policy_refresh,retry
2026-02-11T10:15:54Z,service_restart,timeout
2026-02-11T12:28:09Z,scan,timeout
2026-02-11T10:38:22Z,policy_refresh,legacy app
2026-02-11T11:35:29Z,query,legacy app
2026-02-11T12:28:36Z,scan,maintenance
2026-02-11T09:15:28Z,query,scanner
2026-02-11T08:09:08Z,query,legacy app
2026-02-11T09:52:00Z,service_restart,retry
