time,event,detail
2026-02-11T12:31:23Z,scan,retry
2026-02-11T09:14:22Z,query,normal
2026-02-11T07:50:30Z,query,retry
2026-02-11T09:11:35Z,scan,maintenance
2026-02-11T12:33:01Z,scan,normal
2026-02-11T08:15:30Z,query,scanner
2026-02-11T09:50:44Z,scan,maintenance
2026-02-11T11:56:25Z,scan,scanner
2026-02-11T09:00:19Z,logout,scanner
2026-02-11T07:35:20Z,scan,normal
2026-02-11T08:52:37Z,query,normal
2026-02-11T10:20:56Z,scan,retry
2026-02-11T09:45:49Z,service_restart,legacy app
2026-02-11T10:26:51Z,query,scanner
2026-02-11T08:36:20Z,query,timeout
2026-02-11T10:42:27Z,service_restart,timeout
2026-02-11T09:05:15Z,policy_refresh,maintenance
2026-02-11T10:38:03Z,login,retry
2026-02-11T12:51:03Z,logout,retry
2026-02-11T12:27:11Z,logout,maintenance
2026-02-11T11:15:06Z,query,legacy app
2026-02-11T11:26:23Z,service_restart,timeout
2026-02-11T12:42:00Z,scan,normal
2026-02-11T08:54:22Z,login,maintenance
2026-02-11T11:46:27Z,logout,maintenance
2026-02-11T11:56:42Z,query,maintenance
2026-02-11T10:35:02Z,policy_refresh,legacy app
2026-02-11T10:00:39Z,query,scanner
2026-02-11T10:53:58Z,query,scanner
2026-02-11T10:26:19Z,policy_refresh,maintenance
