time,event,detail
2026-02-11T09:38:41Z,scan,timeout
2026-02-11T11:11:58Z,logout,timeout
2026-02-11T08:30:02Z,policy_refresh,timeout
2026-02-11T08:19:20Z,policy_refresh,legacy app
2026-02-11T12:58:21Z,scan,maintenance
2026-02-11T09:46:28Z,service_restart,retry
2026-02-11T08:32:28Z,service_restart,legacy app
2026-02-11T08:21:17Z,logout,scanner
2026-02-11T12:26:01Z,policy_refresh,maintenance
2026-02-11T07:59:56Z,scan,retry
2026-02-11T10:32:40Z,service_restart,maintenance
2026-02-11T12:48:09Z,login,maintenance
2026-02-11T10:52:38Z,policy_refresh,normal
2026-02-11T12:33:15Z,login,maintenance
2026-02-11T08:13:23Z,login,normal
2026-02-11T07:57:08Z,service_restart,legacy app
2026-02-11T09:49:21Z,query,legacy app
2026-02-11T10:01:58Z,policy_refresh,scanner
2026-02-11T10:28:41Z,logout,maintenance
2026-02-11T11:29:59Z,service_restart,normal
2026-02-11T08:26:24Z,query,normal
2026-02-11T10:52:40Z,login,normal
2026-02-11T12:07:55Z,logout,maintenance
2026-02-11T09:10:00Z,policy_refresh,maintenance
2026-02-11T10:33:34Z,policy_refresh,normal
2026-02-11T12:46:31Z,login,normal
2026-02-11T09:22:33Z,service_restart,timeout
2026-02-11T10:54:44Z,scan,timeout
2026-02-11T10:28:16Z,policy_refresh,normal
2026-02-11T08:03:25Z,login,normal
