time,event,detail
2026-02-11T12:13:05Z,query,legacy app
2026-02-11T08:07:32Z,service_restart,legacy app
2026-02-11T08:26:24Z,query,legacy app
2026-02-11T10:29:13Z,logout,legacy app
2026-02-11T09:01:33Z,scan,normal
2026-02-11T11:02:00Z,scan,normal
2026-02-11T08:19:15Z,logout,retry
2026-02-11T11:19:48Z,query,maintenance
2026-02-11T09:02:02Z,scan,timeout
2026-02-11T12:30:58Z,policy_refresh,normal
2026-02-11T08:24:03Z,login,maintenance
2026-02-11T12:55:37Z,policy_refresh,retry
2026-02-11T08:22:49Z,service_restart,legacy app
2026-02-11T11:30:46Z,scan,maintenance
2026-02-11T08:24:40Z,policy_refresh,retry
2026-02-11T11:38:08Z,logout,retry
2026-02-11T12:09:32Z,policy_refresh,maintenance
2026-02-11T12:33:31Z,scan,retry
2026-02-11T07:22:49Z,logout,legacy app
2026-02-11T07:39:55Z,query,timeout
2026-02-11T11:03:15Z,query,normal
2026-02-11T10:08:23Z,scan,normal
2026-02-11T08:17:18Z,policy_refresh,retry
2026-02-11T07:17:32Z,logout,scanner
2026-02-11T07:15:51Z,service_restart,legacy app
2026-02-11T10:22:46Z,login,maintenance
2026-02-11T12:24:35Z,scan,scanner
2026-02-11T09:26:42Z,query,timeout
2026-02-11T11:58:52Z,query,maintenance
2026-02-11T11:19:53Z,logout,retry
