time,event,detail
2026-02-11T07:33:05Z,query,maintenance
2026-02-11T10:33:26Z,query,timeout
2026-02-11T10:57:18Z,query,timeout
2026-02-11T10:25:13Z,query,normal
2026-02-11T08:08:50Z,query,maintenance
2026-02-11T10:49:19Z,service_restart,normal
2026-02-11T12:42:54Z,login,timeout
2026-02-11T12:43:22Z,scan,scanner
2026-02-11T12:19:51Z,logout,scanner
2026-02-11T12:28:16Z,service_restart,maintenance
2026-02-11T10:16:53Z,scan,scanner
2026-02-11T08:45:46Z,login,timeout
2026-02-11T07:43:28Z,service_restart,timeout
2026-02-11T11:40:15Z,query,legacy app
2026-02-11T08:02:36Z,query,maintenance
2026-02-11T12:39:17Z,login,timeout
2026-02-11T09:16:22Z,logout,scanner
2026-02-11T09:47:42Z,scan,normal
2026-02-11T10:15:14Z,scan,normal
2026-02-11T11:55:37Z,policy_refresh,normal
2026-02-11T08:39:06Z,logout,timeout
2026-02-11T12:54:28Z,logout,legacy app
2026-02-11T09:47:19Z,scan,maintenance
2026-02-11T11:15:57Z,query,scanner
2026-02-11T11:33:13Z,scan,retry
2026-02-11T08:33:33Z,scan,normal
2026-02-11T11:30:40Z,policy_refresh,normal
2026-02-11T07:54:03Z,login,scanner
2026-02-11T07:21:16Z,scan,legacy app
2026-02-11T09:36:14Z,query,legacy app
