time,event,detail
2026-02-11T07:04:09Z,login,retry
2026-02-11T10:52:19Z,login,legacy app
2026-02-11T09:54:24Z,logout,timeout
2026-02-11T11:11:11Z,query,legacy app
2026-02-11T11:19:27Z,query,retry
2026-02-11T10:06:24Z,login,retry
2026-02-11T10:21:55Z,query,scanner
2026-02-11T10:29:04Z,scan,maintenance
2026-02-11T08:11:34Z,scan,normal
2026-02-11T11:44:06Z,policy_refresh,timeout
2026-02-11T09:09:58Z,login,scanner
2026-02-11T09:33:28Z,scan,legacy app
2026-02-11T07:18:22Z,scan,normal
2026-02-11T08:30:05Z,scan,retry
2026-02-11T09:29:04Z,scan,timeout
2026-02-11T09:46:24Z,scan,retry
2026-02-11T12:50:58Z,login,timeout
2026-02-11T11:17:44Z,login,retry
2026-02-11T12:39:24Z,policy_refresh,retry
2026-02-11T11:14:33Z,scan,legacy app
2026-02-11T07:58:24Z,query,legacy app
2026-02-11T09:27:04Z,login,scanner
2026-02-11T08:18:17Z,scan,maintenance
2026-02-11T12:35:58Z,policy_refresh,scanner
2026-02-11T07:20:36Z,policy_refresh,timeout
2026-02-11T10:32:25Z,query,timeout
2026-02-11T11:18:13Z,login,scanner
2026-02-11T07:11:39Z,service_restart,normal
2026-02-11T09:47:28Z,login,normal
2026-02-11T10:37:32Z,logout,retry
