2026-02-11T07:01:36Z,10.77.41.23,ocsp.digicert.com,A,151.101.2.132
2026-02-11T07:02:06Z,10.20.44.33,repo.internal.local,A,13.107.4.50
2026-02-11T07:03:40Z,10.20.51.9,updates.microsoft.com,A,13.107.4.50
2026-02-11T07:07:12Z,10.20.51.9,assets.nstarbio.example,A,13.107.4.50
2026-02-11T07:13:40Z,10.20.44.22,officecdn.microsoft.com,A,13.107.4.50
2026-02-11T07:21:27Z,10.20.44.10,updates.microsoft.com,A,52.100.2.3
2026-02-11T07:24:20Z,10.20.44.10,repo.internal.local,A,198.18.20.14
2026-02-11T07:26:22Z,10.20.44.10,updates.microsoft.com,A,10.3.2.5
2026-02-11T07:26:39Z,10.20.51.9,scanner.lab.local,A,13.107.4.50
2026-02-11T07:28:39Z,10.20.44.10,ocsp.digicert.com,A,151.101.2.132
2026-02-11T07:31:08Z,10.20.44.33,ocsp.digicert.com,A,198.18.20.14
2026-02-11T07:33:00Z,10.77.41.23,scanner.lab.local,A,13.107.4.50
2026-02-11T07:33:13Z,10.20.44.22,repo.internal.local,A,198.18.20.14
2026-02-11T07:35:43Z,10.20.51.9,updates.microsoft.com,A,10.3.2.5
2026-02-11T07:39:28Z,10.20.44.33,repo.internal.local,A,10.3.2.5
2026-02-11T07:47:36Z,10.77.41.23,repo.internal.local,A,10.3.2.5
2026-02-11T07:50:56Z,10.20.51.9,officecdn.microsoft.com,A,151.101.2.132
2026-02-11T07:53:54Z,10.20.44.33,updates.microsoft.com,A,198.18.20.14
2026-02-11T07:58:15Z,10.20.44.33,updates.microsoft.com,A,10.3.2.5
2026-02-11T08:02:23Z,10.20.44.10,scanner.lab.local,A,13.107.4.50
2026-02-11T08:04:43Z,10.20.51.9,repo.internal.local,A,10.3.2.5
2026-02-11T08:07:03Z,10.20.44.33,assets.nstarbio.example,A,151.101.2.132
2026-02-11T08:08:06Z,10.20.44.10,officecdn.microsoft.com,A,10.3.2.5
2026-02-11T08:08:35Z,10.20.44.33,ocsp.digicert.com,A,198.18.20.14
2026-02-11T08:10:06Z,10.20.44.33,officecdn.microsoft.com,A,13.107.4.50
2026-02-11T08:13:45Z,10.20.44.10,scanner.lab.local,A,13.107.4.50
2026-02-11T08:14:42Z,10.20.44.10,officecdn.microsoft.com,A,198.18.20.14
2026-02-11T08:16:21Z,10.20.44.22,microsoftonline-authn.com,A,185.212.44.91
2026-02-11T08:16:33Z,10.77.41.23,ocsp.digicert.com,A,151.101.2.132
2026-02-11T08:19:04Z,10.20.44.22,cdn.mshelperassets.com,A,104.244.76.13
2026-02-11T08:20:52Z,10.20.51.9,ocsp.digicert.com,A,10.3.2.5
2026-02-11T08:27:30Z,10.20.44.10,assets.nstarbio.example,A,198.18.20.14
2026-02-11T08:27:59Z,10.20.44.22,updates.microsoft.com,A,198.18.20.14
2026-02-11T08:28:30Z,10.77.41.23,officecdn.microsoft.com,A,198.18.20.14
2026-02-11T08:29:03Z,10.20.44.10,repo.internal.local,A,10.3.2.5
2026-02-11T08:30:06Z,10.20.44.22,ocsp.digicert.com,A,52.100.2.3
2026-02-11T08:32:31Z,10.20.44.10,updates.microsoft.com,A,52.100.2.3
2026-02-11T08:35:59Z,10.20.51.9,repo.internal.local,A,10.3.2.5
2026-02-11T08:37:14Z,10.20.44.33,repo.internal.local,A,151.101.2.132
2026-02-11T08:37:18Z,10.77.41.23,repo.internal.local,A,198.18.20.14
2026-02-11T08:37:56Z,10.20.44.10,assets.nstarbio.example,A,13.107.4.50
2026-02-11T08:39:42Z,10.20.44.33,assets.nstarbio.example,A,198.18.20.14
2026-02-11T08:43:58Z,10.20.51.9,repo.internal.local,A,151.101.2.132
2026-02-11T08:45:47Z,10.20.44.22,scanner.lab.local,A,52.100.2.3
2026-02-11T08:50:47Z,10.77.41.23,scanner.lab.local,A,52.100.2.3
